"filename", "language", "JSON with Comments", "HTML", "Markdown", "JSON", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-form\movimientos-form.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-form\movimientos-form.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-list\movimientos-list.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-list\movimientos-list.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-list\movimientos-list.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-despacho\orden-despacho-form\gestion-ordenes-despacho-form.component.html", "HTML", 0, 58, 0, 0, 0, 0, 0, 13, 71
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-despacho\orden-despacho-form\gestion-ordenes-despacho-form.component.ts", "TypeScript", 0, 0, 0, 0, 222, 0, 0, 26, 248
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-despacho\orden-despacho-list\gestion-ordenes-despacho-list.component.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 12, 87
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-despacho\orden-despacho-list\gestion-ordenes-despacho-list.component.ts", "TypeScript", 0, 0, 0, 0, 88, 0, 0, 19, 107
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-form\orden-recepcion-form.component.css", "PostCSS", 0, 0, 0, 0, 0, 204, 8, 39, 251
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-form\orden-recepcion-form.component.html", "HTML", 0, 201, 0, 0, 0, 0, 1, 24, 226
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-form\orden-recepcion-form.component.ts", "TypeScript", 0, 0, 0, 0, 293, 0, 14, 44, 351
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-list\orden-recepcion-list.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-list\orden-recepcion-list.component.html", "HTML", 0, 70, 0, 0, 0, 0, 0, 10, 80
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ordenes-recepcion\orden-recepcion-list\orden-recepcion-list.component.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 19, 111
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-productos\producto-form\producto-form.component.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-productos\producto-form\producto-form.component.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 12, 76
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-productos\producto-list\producto-list.component.html", "HTML", 0, 87, 0, 0, 0, 0, 0, 12, 99
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-productos\producto-list\producto-list.component.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 0, 21, 144
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-proveedores\proveedores-form\proveedores-form.component.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-proveedores\proveedores-form\proveedores-form.component.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 14, 80
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-proveedores\proveedores-list\proveedores-list.component.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-proveedores\proveedores-list\proveedores-list.component.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 15, 107
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ubicaciones\ubicacion-form\ubicacion-form.component.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ubicaciones\ubicacion-form\ubicacion-form.component.ts", "TypeScript", 0, 0, 0, 0, 121, 0, 0, 16, 137
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ubicaciones\ubicacion-list\ubicacion-list.component.html", "HTML", 0, 87, 0, 0, 0, 0, 0, 11, 98
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-ubicaciones\ubicacion-list\ubicacion-list.component.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 14, 109
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-usuarios\usuario-form\usuario-form.component.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 9, 52
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-usuarios\usuario-form\usuario-form.component.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 13, 84
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-usuarios\usuario-list\usuario-list.component.html", "HTML", 0, 77, 0, 0, 0, 0, 0, 10, 87
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-usuarios\usuario-list\usuario-list.component.ts", "TypeScript", 0, 0, 0, 0, 100, 0, 0, 17, 117
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-zonas\zona-form\zona-form.component.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-zonas\zona-form\zona-form.component.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 1, 13, 76
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-zonas\zona-list\zona-list.component.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 9, 66
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-zonas\zona-list\zona-list.component.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 13, 95
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\login\login.component.css", "PostCSS", 0, 0, 0, 0, 0, 55, 0, 9, 64
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\login\login.component.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 8, 48
"c:\TPPROGRA4\GestorDeDepositos\src\app\shared\components\modal\modal-host.component.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 4, 40
"c:\TPPROGRA4\GestorDeDepositos\src\app\shared\components\modal\modal.component.css", "PostCSS", 0, 0, 0, 0, 0, 242, 0, 41, 283
"c:\TPPROGRA4\GestorDeDepositos\src\app\shared\components\modal\modal.component.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 4, 68
"c:\TPPROGRA4\GestorDeDepositos\src\app\shared\services\modal.service.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 9, 65
"c:\TPPROGRA4\GestorDeDepositos\src\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\TPPROGRA4\GestorDeDepositos\src\main.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\TPPROGRA4\GestorDeDepositos\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 218, 28, 51, 297
"c:\TPPROGRA4\GestorDeDepositos\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 2, 1, 16
"c:\TPPROGRA4\GestorDeDepositos\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 2, 1, 35
"c:\TPPROGRA4\GestorDeDepositos\tsconfig.spec.json", "JSON", 0, 0, 0, 12, 0, 0, 2, 1, 15
"Total", "-", 32, 1229, 36, 9872, 3046, 834, 88, 992, 16129
